epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.9714,1.16051,4.23413,1.34528,0.52184,0.11962,0.08667,0.06705,0.89724,2.87605,1.13903,0.000158412,0.000158412,0.000158412
2,178.631,1.1367,3.6603,1.31679,0.57293,0.16297,0.09795,0.06951,0.99317,4.9184,1.32617,0.00031394,0.00031394,0.00031394
3,255.211,1.17063,3.38137,1.36829,0.6664,0.16904,0.11805,0.08004,0.9808,3.88927,1.28107,0.000466326,0.000466326,0.000466326
4,330.497,1.12847,3.13345,1.31496,0.58926,0.19426,0.13829,0.08877,0.94458,3.70042,1.27474,0.000461863,0.000461863,0.000461863
5,407.08,1.14069,3.04873,1.33317,0.33137,0.28117,0.17777,0.10803,1.0204,5.3493,1.41957,0.00045715,0.00045715,0.00045715
6,481.708,1.14547,2.9274,1.38506,0.36597,0.28054,0.18778,0.12244,0.96289,4.57471,1.28654,0.000452438,0.000452438,0.000452438
7,556.95,1.10062,2.85379,1.3243,0.48701,0.25143,0.22591,0.15666,0.91664,2.38918,1.18917,0.000447726,0.000447726,0.000447726
8,632.846,1.07282,2.70525,1.29687,0.46473,0.27832,0.23005,0.163,0.91047,2.88721,1.18843,0.000443013,0.000443013,0.000443013
9,710.174,1.05953,2.69295,1.30302,0.39498,0.30018,0.25483,0.17065,0.97666,3.30852,1.27363,0.000438301,0.000438301,0.000438301
10,794.517,1.06803,2.60069,1.29537,0.53676,0.26634,0.25675,0.17725,0.94735,3.46009,1.26247,0.000433588,0.000433588,0.000433588
11,884.713,1.03249,2.43359,1.26785,0.43726,0.26621,0.24743,0.16045,0.97712,3.43044,1.26494,0.000428876,0.000428876,0.000428876
12,971.798,1.03074,2.46697,1.26333,0.43602,0.31393,0.29238,0.20999,0.88162,3.03574,1.18425,0.000424164,0.000424164,0.000424164
13,1060.58,1.01317,2.3814,1.24887,0.43307,0.30481,0.28131,0.19545,0.94212,2.86984,1.22958,0.000419451,0.000419451,0.000419451
14,1151.42,1.00726,2.3661,1.25477,0.37892,0.31628,0.2892,0.19845,0.97134,3.63885,1.28987,0.000414739,0.000414739,0.000414739
15,1240.03,0.98759,2.40572,1.26437,0.42235,0.33102,0.31056,0.21952,0.85829,2.41314,1.14132,0.000410026,0.000410026,0.000410026
16,1327.56,0.99349,2.31697,1.24318,0.37272,0.3399,0.29932,0.20869,0.88618,2.49761,1.18195,0.000405314,0.000405314,0.000405314
17,1414.35,0.99126,2.23034,1.24666,0.50983,0.28009,0.32774,0.23253,0.8579,2.08979,1.17626,0.000400602,0.000400602,0.000400602
18,1501.56,0.97517,2.28165,1.21497,0.41115,0.33892,0.31825,0.22431,0.85835,1.88449,1.18891,0.000395889,0.000395889,0.000395889
19,1589.85,0.97446,2.21733,1.22429,0.51251,0.29508,0.315,0.22618,0.89423,2.31405,1.22813,0.000391177,0.000391177,0.000391177
20,1679.15,0.96858,2.24888,1.24347,0.39296,0.33143,0.31428,0.22931,0.87029,2.05096,1.19914,0.000386464,0.000386464,0.000386464
21,1768.68,0.97956,2.25113,1.23848,0.40638,0.32927,0.31997,0.22446,0.90385,2.70688,1.26067,0.000381752,0.000381752,0.000381752
22,1858.76,0.94349,2.08017,1.19404,0.38359,0.39639,0.3217,0.23144,0.85108,1.88976,1.15192,0.00037704,0.00037704,0.00037704
23,1948.27,0.93484,2.10577,1.19383,0.46301,0.34349,0.31943,0.22764,0.88078,2.06697,1.21259,0.000372327,0.000372327,0.000372327
24,2042.24,0.9343,2.16614,1.20612,0.32856,0.37793,0.31082,0.23021,0.83651,1.91919,1.16323,0.000367615,0.000367615,0.000367615
25,2135.26,0.92749,2.02098,1.18166,0.43856,0.34738,0.32676,0.2267,0.8843,2.35569,1.21316,0.000362902,0.000362902,0.000362902
26,2228.88,0.91025,2.05625,1.18859,0.51493,0.34267,0.33449,0.25365,0.83665,1.66967,1.15718,0.00035819,0.00035819,0.00035819
27,2320.51,0.91827,1.96786,1.18937,0.31661,0.40347,0.32637,0.24357,0.85256,1.66068,1.16549,0.000353478,0.000353478,0.000353478
28,2411.84,0.92076,1.96672,1.18215,0.26391,0.44877,0.33941,0.26032,0.80361,1.63406,1.12309,0.000348765,0.000348765,0.000348765
29,2497.75,0.90744,1.9547,1.17909,0.37462,0.37991,0.33872,0.25765,0.81516,1.74961,1.13484,0.000344053,0.000344053,0.000344053
30,2575.03,0.88182,1.90586,1.16901,0.48892,0.34377,0.31493,0.2301,0.86552,1.96584,1.16372,0.00033934,0.00033934,0.00033934
31,2649.73,0.87354,1.88649,1.16769,0.45713,0.33879,0.31729,0.2378,0.85276,1.70028,1.16096,0.000334628,0.000334628,0.000334628
32,2725.22,0.91307,1.91366,1.19737,0.28794,0.49563,0.37252,0.27964,0.84095,1.63149,1.16383,0.000329916,0.000329916,0.000329916
33,2800.52,0.8831,1.86838,1.17202,0.43812,0.33105,0.34307,0.25061,0.8622,1.79034,1.16476,0.000325203,0.000325203,0.000325203
34,2876.28,0.89982,1.84111,1.18533,0.3065,0.41881,0.36892,0.27585,0.82394,1.86358,1.15377,0.000320491,0.000320491,0.000320491
